id,canonical_code,set_code,card_number,set_name,card_name,rarity,color,card_type,cost,power,counter,attribute,traits,life,block_icon,effect_text,trigger_text,aliases_json,sources_json,base_card_id,is_variant,variant_category,variant_subtype,stamp_type,stamp_event_name,stamp_placement,distribution_source,distribution_event,is_serialized,serial_number,print_run,is_premium_variant,variant_meta_json
61,EB01-061,EB01,061,Memorial Collection,Mr.2.Bon.Kurei(Bentham),SEC,Purple,Character,4,1000,1000,Special,Former Baroque Works,,2,[On Play] Add up to 1 DON!! card from your DON!! deck and set it as active. [When Attacking] Select up to 1 of your opponent's Characters. This Character's base power becomes the same as the selected Character's power during this turn.,,"[""EB01-061"", ""Mr.2.Bon.Kurei(Bentham)""]","[""local-catalog"", ""official-cardlist"", ""onepiece-cardgame-dev"", ""local-corroboration""]",EB01-061,0,,,,,,,,0,,,0,{}
62,EB02-001,EB02,001,Anime 25th Collection,Karoo,C,Red,Character,5,7000,1000,Strike,Animal/Alabasta,,3,-,,"[""EB02-001"", ""Karoo""]","[""local-catalog"", ""official-cardlist""]",EB02-001,0,,,,,,,,0,,,0,{}
63,EB02-002,EB02,002,Anime 25th Collection,Sabo,R,Red,Character,4,5000,2000,Special,Dressrosa/Revolutionary Army,,3,[Activate: Main] You may rest this Character: Up to 1 of your {Revolutionary Army} type Characters other than [Sabo] gains +2000 power during this turn.,,"[""EB02-002"", ""Sabo""]","[""local-catalog"", ""official-cardlist""]",EB02-002,0,,,,,,,,0,,,0,{}
64,EB02-003,EB02,003,Anime 25th Collection,Tony Tony.Chopper,R,Red,Character,3,3000,1000,Strike,Animal/Drum Kingdom/Straw Hat Crew,,3,"[DON!! x2] [Opponent's Turn] This Character gains +2000 power. [On Play] If your Leader has the {Straw Hat Crew} type, give up to 1 rested DON!! card to your Leader or 1 of your Characters.",,"[""EB02-003"", ""Tony Tony.Chopper""]","[""local-catalog"", ""official-cardlist""]",EB02-003,0,,,,,,,,0,,,0,{}
65,EB02-004,EB02,004,Anime 25th Collection,Don Accino,C,Red,Character,8,10000,1000,Special,Accino Family,,3,-,,"[""Don Accino"", ""EB02-004""]","[""local-catalog"", ""official-cardlist""]",EB02-004,0,,,,,,,,0,,,0,{}
66,EB02-005,EB02,005,Anime 25th Collection,Fake Straw Hat Crew,C,Red,Character,2,3000,-,Ranged,Fake Straw Hat Crew,,3,[Your Turn] This Character gains +2000 power. [Opponent's Turn] Give this Character −2000 power.,,"[""EB02-005"", ""Fake Straw Hat Crew""]","[""local-catalog"", ""official-cardlist""]",EB02-005,0,,,,,,,,0,,,0,{}
67,EB02-006,EB02,006,Anime 25th Collection,Yamato,SR,Red,Character,6,7000,-,Strike,Land of Wano,,3,"[Activate: Main] [Once Per Turn] If your Leader has the {Land of Wano} type or is [Portgas.D.Ace], give up to 1 rested DON!! card to 1 of your Leader. Then, this Character gains [Rush] during this turn.",,"[""EB02-006"", ""Yamato""]","[""local-catalog"", ""official-cardlist""]",EB02-006,0,,,,,,,,0,,,0,{}
68,EB02-007,EB02,007,Anime 25th Collection,Cloven Rose Blizzard,C,Red,Event,3,-,-,-,Animal/Water Seven/Straw Hat Crew,,3,"[Main] Up to a total of 3 of your Leader and Character cards gain +1000 power during this turn. Then, K.O. up to 1 of your opponent's Characters with 3000 power or less.",[Trigger] K.O. up to 1 of your opponent's Characters with 4000 power or less.,"[""Cloven Rose Blizzard"", ""EB02-007""]","[""local-catalog"", ""official-cardlist""]",EB02-007,0,,,,,,,,0,,,0,{}
69,EB02-008,EB02,008,Anime 25th Collection,The Peak,R,Red,Event,2,-,-,-,Music,,3,"[Main] Look at 4 cards from the top of your deck; reveal up to 1 card with a cost of 4 or more and add it to your hand. Then, place the rest at the bottom of your deck in any order.",[Trigger] Activate this card's [Main] effect.,"[""EB02-008"", ""The Peak""]","[""local-catalog"", ""official-cardlist""]",EB02-008,0,,,,,,,,0,,,0,{}
70,EB02-009,EB02,009,Anime 25th Collection,Thousand Sunny,C,Red,Stage,2,-,-,-,Straw Hat Crew,,3,[Activate: Main] You may rest this Stage: Give up to 1 of your currently given DON!! cards to 1 of your {Straw Hat Crew} type Characters.,,"[""EB02-009"", ""Thousand Sunny""]","[""local-catalog"", ""official-cardlist""]",EB02-009,0,,,,,,,,0,,,0,{}
71,EB02-010,EB02,010,Anime 25th Collection,Monkey.D.Luffy,L,Green/Purple,Leader,4,5000,-,Strike,Straw Hat Crew,,3,"[Activate: Main] [Once Per Turn] DON!! −2: If the only Characters on your field are {Straw Hat Crew} type Characters, set up to 2 of your DON!! cards as active. Then, this Leader gains +1000 power until the end of your opponent's next turn.",,"[""EB02-010"", ""Monkey.D.Luffy""]","[""local-catalog"", ""official-cardlist""]",EB02-010,0,,,,,,,,0,,,0,{}
72,EB02-011,EB02,011,Anime 25th Collection,Arlong,SR,Green,Character,3,4000,1000,Slash,Fish-Man/East Blue/Arlong Pirates,,3,"[On Play] If your Leader has the {Fish-Man} or {East Blue} type, give up to 1 rested DON!! card to 1 of your Leader. Then, up to 1 of your opponent's Characters with a cost of 5 or less cannot be rested until the end of your opponent's next turn.",,"[""Arlong"", ""EB02-011""]","[""local-catalog"", ""official-cardlist""]",EB02-011,0,,,,,,,,0,,,0,{}
73,EB02-012,EB02,012,Anime 25th Collection,Gaimon,C,Green,Character,1,1000,1000,Wisdom,East Blue,,3,"If you have a [Sarfunkel], this Character gains [Blocker].",,"[""EB02-012"", ""Gaimon""]","[""local-catalog"", ""official-cardlist""]",EB02-012,0,,,,,,,,0,,,0,{}
74,EB02-013,EB02,013,Anime 25th Collection,Carrot,C,Green,Character,1,-,2000,Special,Minks,,3,"[On Play] If you have 3 or more DON!! cards on your field, look at 7 cards from the top of your deck; reveal up to 1 [Zou] and add it to your hand. Then, place the rest at the bottom of your deck in any order and play up to 1 [Zou] from your hand.",,"[""Carrot"", ""EB02-013""]","[""local-catalog"", ""official-cardlist""]",EB02-013,0,,,,,,,,0,,,0,{}
75,EB02-014,EB02,014,Anime 25th Collection,Sarfunkel,C,Green,Character,2,-,1000,Wisdom,East Blue,,3,[On Play] Play up to 1 [Gaimon] from your hand.,,"[""EB02-014"", ""Sarfunkel""]","[""local-catalog"", ""official-cardlist""]",EB02-014,0,,,,,,,,0,,,0,{}
76,EB02-015,EB02,015,Anime 25th Collection,Jewelry Bonney,SR,Green,Character,7,7000,1000,Special,Supernovas/Bonney Pirates,,3,"[On Play] Up to 1 of your opponent's rested Characters will not become active in your opponent's next Refresh Phase. Then, set up to 1 of your DON!! cards as active at the end of this turn.",,"[""EB02-015"", ""Jewelry Bonney""]","[""local-catalog"", ""official-cardlist""]",EB02-015,0,,,,,,,,0,,,0,{}
77,EB02-016,EB02,016,Anime 25th Collection,Chopperman,C,Green,Character,5,6000,1000,Strike,Animal/Straw Hat Crew,,3,Also treat this card's name as [Tony Tony.Chopper] according to the rules. [On Play] Play up to 1 {Animal} type Character card with a cost of 3 or less from your hand.,,"[""Chopperman"", ""EB02-016""]","[""local-catalog"", ""official-cardlist""]",EB02-016,0,,,,,,,,0,,,0,{}
78,EB02-017,EB02,017,Anime 25th Collection,Nami,R,Green,Character,1,2000,1000,Wisdom,East Blue/Straw Hat Crew,,3,"[On Play] Look at 5 cards from the top of your deck; reveal up to 1 {Straw Hat Crew} type card other than [Nami] and add it to your hand. Then, place the rest at the bottom of your deck in any order.",,"[""EB02-017"", ""Nami""]","[""local-catalog"", ""official-cardlist""]",EB02-017,0,,,,,,,,0,,,0,{}
79,EB02-018,EB02,018,Anime 25th Collection,Buggy,R,Green,Character,4,6000,-,Slash,East Blue/Buggy Pirates,,3,"[On Play] If you have no other [Buggy] Characters, up to 1 of your Leader gains [Double Attack] during this turn.",[Trigger] Rest up to 1 of your opponent's Characters with a cost of 4 or less.,"[""Buggy"", ""EB02-018""]","[""local-catalog"", ""official-cardlist""]",EB02-018,0,,,,,,,,0,,,0,{}
80,EB02-019,EB02,019,Anime 25th Collection,Roronoa Zoro,R,Green,Character,4,5000,1000,Slash,East Blue/Straw Hat Crew,,3,"If your opponent has 2 or more Characters, this Character can attack Characters on the turn in which it is played. [On Play] If your Leader has the {Straw Hat Crew} type, rest up to 1 of your opponent's Characters with a cost of 4 or less.",,"[""EB02-019"", ""Roronoa Zoro""]","[""local-catalog"", ""official-cardlist""]",EB02-019,0,,,,,,,,0,,,0,{}
81,EB02-020,EB02,020,Anime 25th Collection,We Are!,R,Green,Event,2,-,-,-,Music,,3,"[Main] Look at 4 cards from the top of your deck; reveal up to 1 card with a cost of 4 or more and add it to your hand. Then, place the rest at the bottom of your deck in any order.",[Trigger] Activate this card's [Main] effect.,"[""EB02-020"", ""We Are!""]","[""local-catalog"", ""official-cardlist""]",EB02-020,0,,,,,,,,0,,,0,{}
82,EB02-021,EB02,021,Anime 25th Collection,Gum-Gum Giant Pistol,C,Green,Event,3,-,-,-,Water Seven/Straw Hat Crew,,3,"[Main] Up to 1 of your {Straw Hat Crew} type Characters gains +6000 power during this turn. Then, the selected Character will not become active in your next Refresh Phase.",[Trigger] Rest up to 1 of your opponent's Characters with a cost of 4 or less.,"[""EB02-021"", ""Gum-Gum Giant Pistol""]","[""local-catalog"", ""official-cardlist""]",EB02-021,0,,,,,,,,0,,,0,{}
83,EB02-022,EB02,022,Anime 25th Collection,Usopp,R,Blue,Character,4,5000,1000,Ranged,East Blue/Straw Hat Crew,,3,"[On Play] If you have 2 or less Characters with 5000 power or more, play up to 1 Character card with 6000 power or less and no base effect from your hand.",,"[""EB02-022"", ""Usopp""]","[""local-catalog"", ""official-cardlist""]",EB02-022,0,,,,,,,,0,,,0,{}
84,EB02-023,EB02,023,Anime 25th Collection,Crocodile,C,Blue,Character,4,5000,1000,Special,The Seven Warlords of the Sea/Baroque Works,,3,"[Your Turn] [Once Per Turn] When your opponent's Character is returned to the owner's hand by your effect, look at 3 cards from the top of your deck and place them at the top or bottom of the deck in any order.",,"[""Crocodile"", ""EB02-023""]","[""local-catalog"", ""official-cardlist""]",EB02-023,0,,,,,,,,0,,,0,{}
85,EB02-024,EB02,024,Anime 25th Collection,Sogeking,C,Blue,Character,4,5000,1000,Ranged,Sniper Island,,3,"Also treat this card's name as [Usopp] according to the rules. [On Play] Draw 2 cards and place 2 cards from your hand at the bottom of your deck in any order. Then, return up to 1 Character with a cost of 1 or less to the owner's hand.",,"[""EB02-024"", ""Sogeking""]","[""local-catalog"", ""official-cardlist""]",EB02-024,0,,,,,,,,0,,,0,{}
86,EB02-025,EB02,025,Anime 25th Collection,Donquixote Rosinante,R,Blue,Character,2,3000,1000,Special,Navy/Donquixote Pirates,,3,"[Activate: Main] You may rest 1 of your DON!! cards and this Character: If your Leader is [Donquixote Rosinante], look at 5 cards from the top of your deck; play up to 1 Character card with a cost of 2 or less rested. Then, place the rest at the bottom of your deck in any order.",,"[""Donquixote Rosinante"", ""EB02-025""]","[""local-catalog"", ""official-cardlist""]",EB02-025,0,,,,,,,,0,,,0,{}
87,EB02-026,EB02,026,Anime 25th Collection,Nefeltari Vivi,SR,Blue,Character,3,2000,1000,Slash,Alabasta,,3,"[On Play] If your Leader is multicolored and you have 5 or less cards in your hand, draw 2 cards.",,"[""EB02-026"", ""Nefeltari Vivi""]","[""local-catalog"", ""official-cardlist""]",EB02-026,0,,,,,,,,0,,,0,{}
88,EB02-027,EB02,027,Anime 25th Collection,Vista,C,Blue,Character,4,5000,1000,Slash,Whitebeard Pirates,,3,[On Play] Place up to 1 of your opponent's Characters with 1000 power or less at the bottom of the owner's deck.,,"[""EB02-027"", ""Vista""]","[""local-catalog"", ""official-cardlist""]",EB02-027,0,,,,,,,,0,,,0,{}
89,EB02-028,EB02,028,Anime 25th Collection,Portgas.D.Ace,R,Blue,Character,5,5000,1000,Special,Alabasta/Whitebeard Pirates,,3,"[On Play] If your Leader's type includes ""Whitebeard Pirates"", look at 5 cards from the top of your deck; reveal up to 1 Character card with a cost of 2 and add it to your hand. Then, place the rest at the bottom of your deck in any order and play up to 1 Character card with a cost of 2 from your hand rested.",,"[""EB02-028"", ""Portgas.D.Ace""]","[""local-catalog"", ""official-cardlist""]",EB02-028,1,premium_rarity,sp,,,,OP13,,0,,,1,{}
90,EB02-029,EB02,029,Anime 25th Collection,Grandpa Ryu,C,Blue,Character,3,5000,1000,Wisdom,Animal/East Blue,,3,-,,"[""EB02-029"", ""Grandpa Ryu""]","[""local-catalog"", ""official-cardlist""]",EB02-029,0,,,,,,,,0,,,0,{}
91,EB02-030,EB02,030,Anime 25th Collection,And That's When Somebody Makes Fun of Their Friend's Dream!!!!,C,Blue,Event,2,-,-,-,Alabasta/Straw Hat Crew,,3,"[Counter] If any of your Characters would be K.O.'d in battle during this turn, you may trash 1 card from your hand instead.",[Trigger] Draw 1 card.,"[""And That's When Somebody Makes Fun of Their Friend's Dream!!!!"", ""EB02-030""]","[""local-catalog"", ""official-cardlist""]",EB02-030,0,,,,,,,,0,,,0,{}
92,EB02-031,EB02,031,Anime 25th Collection,Hope,R,Blue,Event,2,-,-,-,Music,,3,"[Main] Look at 4 cards from the top of your deck; reveal up to 1 card with a cost of 4 or more and add it to your hand. Then, place the rest at the bottom of your deck in any order.",[Trigger] Activate this card's [Main] effect.,"[""EB02-031"", ""Hope""]","[""local-catalog"", ""official-cardlist""]",EB02-031,0,,,,,,,,0,,,0,{}
93,EB02-032,EB02,032,Anime 25th Collection,Iceburg,C,Purple,Character,1,-,2000,Wisdom,Water Seven/Galley-La Company,,3,"[On Play] If you have 3 or more DON!! cards on your field, look at 7 cards from the top of your deck; reveal up to 1 [Galley-La Company] and add it to your hand. Then, place the rest at the bottom of your deck in any order and play up to 1 [Galley-La Company] from your hand.",,"[""EB02-032"", ""Iceburg""]","[""local-catalog"", ""official-cardlist""]",EB02-032,0,,,,,,,,0,,,0,{}
94,EB02-033,EB02,033,Anime 25th Collection,Klabautermann,C,Purple,Character,1,-,1000,Wisdom,Sprite,,3,"If you have [Merry Go] on your field, this Character gains [Blocker].",,"[""EB02-033"", ""Klabautermann""]","[""local-catalog"", ""official-cardlist""]",EB02-033,0,,,,,,,,0,,,0,{}
95,EB02-034,EB02,034,Anime 25th Collection,Komei,C,Purple,Character,4,6000,1000,Wisdom,Navy/Foxy Pirates,,3,-,,"[""EB02-034"", ""Komei""]","[""local-catalog"", ""official-cardlist""]",EB02-034,0,,,,,,,,0,,,0,{}
96,EB02-035,EB02,035,Anime 25th Collection,Sanji & Pudding,SR,Purple,Character,5,7000,-,Strike/Wisdom,Big Mom Pirates/Straw Hat Crew,,3,"[Your Turn] [Once Per Turn] When 2 or more DON!! cards on your field are returned to your DON!! deck, add up to 1 DON!! card from your DON!! deck and set it as active. [On Play] If the number of DON!! cards on your field is equal to or less than the number on your opponent's field, draw 1 card.",,"[""EB02-035"", ""Sanji & Pudding""]","[""local-catalog"", ""official-cardlist""]",EB02-035,0,,,,,,,,0,,,0,{}
97,EB02-036,EB02,036,Anime 25th Collection,Nico Robin,R,Purple,Character,3,2000,1000,Strike,Straw Hat Crew,,3,"[Blocker] [On K.O.] DON!! −1: Look at 3 cards from the top of your deck; reveal up to 1 {Straw Hat Crew} type card and add it to your hand. Then, place the rest at the bottom of your deck in any order.",,"[""EB02-036"", ""Nico Robin""]","[""local-catalog"", ""official-cardlist""]",EB02-036,0,,,,,,,,0,,,0,{}
98,EB02-037,EB02,037,Anime 25th Collection,Franky,R,Purple,Character,3,4000,1000,Strike,Water Seven/Straw Hat Crew,,3,"[On Play]/[When Attacking] If your Leader has the {Straw Hat Crew} type and the number of DON!! cards on your field is equal to or less than the number on your opponent's field, add up to 1 DON!! card from your DON!! deck and rest it.",,"[""EB02-037"", ""Franky""]","[""local-catalog"", ""official-cardlist""]",EB02-037,0,,,,,,,,0,,,0,{}
99,EB02-038,EB02,038,Anime 25th Collection,Magellan,C,Purple,Character,3,4000,1000,Special,Impel Down,,3,[On Play] Play up to 1 {Impel Down} type Character card with a cost of 2 or less from your hand.,,"[""EB02-038"", ""Magellan""]","[""local-catalog"", ""official-cardlist""]",EB02-038,0,,,,,,,,0,,,0,{}
100,EB02-039,EB02,039,Anime 25th Collection,GERMA 66,C,Purple,Event,4,-,-,-,The Vinsmoke Family/GERMA 66,,3,"[Main] You may trash 1 {GERMA 66} type Character card with 4000 power or less from your hand: If the number of DON!! cards on your field is equal to or less than the number on your opponent's field, play up to 1 Character card with 5000 to 7000 power and the same card name as the trashed card from your trash.",,"[""EB02-039"", ""GERMA 66""]","[""local-catalog"", ""official-cardlist""]",EB02-039,0,,,,,,,,0,,,0,{}
101,EB02-040,EB02,040,Anime 25th Collection,BRAND NEW WORLD,R,Purple,Event,2,-,-,-,Music,,3,"[Main] Look at 4 cards from the top of your deck; reveal up to 1 card with a cost of 4 or more and add it to your hand. Then, place the rest at the bottom of your deck in any order.",[Trigger] Activate this card's [Main] effect.,"[""BRAND NEW WORLD"", ""EB02-040""]","[""local-catalog"", ""official-cardlist""]",EB02-040,0,,,,,,,,0,,,0,{}
102,EB02-041,EB02,041,Anime 25th Collection,Merry Go,R,Purple,Stage,1,-,-,-,Straw Hat Crew,,3,"[On Play] If your Leader has the {Straw Hat Crew} type, draw 1 card. [Activate: Main] You may rest this Stage: If the number of DON!! cards on your field is equal to or less than the number on your opponent's field, up to 1 of your {Straw Hat Crew} type Characters gains +2 cost until the end of your opponent's next turn.",,"[""EB02-041"", ""Merry Go""]","[""local-catalog"", ""official-cardlist""]",EB02-041,0,,,,,,,,0,,,0,{}
103,EB02-042,EB02,042,Anime 25th Collection,All-Hunt Grount,C,Black,Character,6,8000,1000,Strike,Navy,,3,-,,"[""All-Hunt Grount"", ""EB02-042""]","[""local-catalog"", ""official-cardlist""]",EB02-042,0,,,,,,,,0,,,0,{}
104,EB02-043,EB02,043,Anime 25th Collection,Jonathan,C,Black,Character,7,9000,1000,Wisdom,Navy,,3,-,,"[""EB02-043"", ""Jonathan""]","[""local-catalog"", ""official-cardlist""]",EB02-043,0,,,,,,,,0,,,0,{}
105,EB02-044,EB02,044,Anime 25th Collection,Sengoku,SR,Black,Character,7,7000,1000,Wisdom,Navy,,3,[Blocker] [On Play] Play up to 1 black {Navy} type Character card with a cost of 4 or less from your trash rested.,,"[""EB02-044"", ""Sengoku""]","[""local-catalog"", ""official-cardlist""]",EB02-044,0,,,,,,,,0,,,0,{}
106,EB02-045,EB02,045,Anime 25th Collection,Trafalgar Law,SR,Black,Character,5,6000,1000,Slash,Dressrosa/Supernovas/Heart Pirates,,3,"[Blocker] [On Play] You may place 2 cards from your trash at the bottom of your deck in any order: Choose one: • Draw 1 card. • If your opponent has 5 or more cards in their hand, your opponent trashes 1 card from their hand.",,"[""EB02-045"", ""Trafalgar Law""]","[""local-catalog"", ""official-cardlist""]",EB02-045,0,,,,,,,,0,,,0,{}
107,EB02-046,EB02,046,Anime 25th Collection,Hildon,C,Black,Character,3,3000,2000,Wisdom,Thriller Bark Pirates,,3,[On Play] Trash 2 cards from the top of your deck and give up to 1 of your opponent's Characters −1 cost during this turn.,,"[""EB02-046"", ""Hildon""]","[""local-catalog"", ""official-cardlist""]",EB02-046,0,,,,,,,,0,,,0,{}
108,EB02-047,EB02,047,Anime 25th Collection,Blueno,C,Black,Character,5,6000,1000,Strike,CP9,,3,"[Activate: Main] You may trash 1 card from your hand and trash this Character: Play up to 1 Character card with a type including ""CP"" and a cost of 5 or less other than [Blueno] from your trash.",,"[""Blueno"", ""EB02-047""]","[""local-catalog"", ""official-cardlist""]",EB02-047,0,,,,,,,,0,,,0,{}
109,EB02-048,EB02,048,Anime 25th Collection,Brook,R,Black,Character,5,6000,1000,Slash,Straw Hat Crew,,3,[On Play] Add up to 1 [Laboon] from your trash to your hand. [On K.O.] Play up to 1 [Laboon] with a cost of 4 or less from your hand.,,"[""Brook"", ""EB02-048""]","[""local-catalog"", ""official-cardlist""]",EB02-048,0,,,,,,,,0,,,0,{}
110,EB02-049,EB02,049,Anime 25th Collection,Monkey.D.Garp,R,Black,Character,5,6000,-,Strike,Navy,,3,"[On Play] Give up to 2 rested DON!! cards to 1 of your Leader. [Activate: Main] You may rest this Character: If your Leader is [Monkey.D.Garp], K.O. up to 1 of your opponent's Characters with a cost of 1 or less.",,"[""EB02-049"", ""Monkey.D.Garp""]","[""local-catalog"", ""official-cardlist""]",EB02-049,0,,,,,,,,0,,,0,{}
111,EB02-050,EB02,050,Anime 25th Collection,Kokoro no Chizu,R,Black,Event,2,-,-,-,Music,,3,"[Main] Look at 4 cards from the top of your deck; reveal up to 1 card with a cost of 4 or more and add it to your hand. Then, place the rest at the bottom of your deck in any order.",[Trigger] Activate this card's [Main] effect.,"[""EB02-050"", ""Kokoro no Chizu""]","[""local-catalog"", ""official-cardlist""]",EB02-050,0,,,,,,,,0,,,0,{}
112,EB02-051,EB02,051,Anime 25th Collection,Three-Pace Hum Soul Notch Slash,C,Black,Event,3,-,-,-,Former Rumbar Pirates,,3,[Main] Choose one: • K.O. up to 1 of your opponent's Characters with a cost of 2 or less. • Give up to 1 of your opponent's Characters −4 cost during this turn.,,"[""EB02-051"", ""Three-Pace Hum Soul Notch Slash""]","[""local-catalog"", ""official-cardlist""]",EB02-051,0,,,,,,,,0,,,0,{}
113,EB02-052,EB02,052,Anime 25th Collection,Enel,SR,Yellow,Character,10,11000,-,Special,Sky Island,,3,"If your Leader has the {Sky Island} type, this Character gains [Rush]. [When Attacking] You may trash 1 card from your hand: If you have 1 or less Life cards, add up to 1 card from the top of your deck to the top of your Life cards. Then, this Character gains +1000 power during this turn.",,"[""EB02-052"", ""Enel""]","[""local-catalog"", ""official-cardlist""]",EB02-052,0,,,,,,,,0,,,0,{}
114,EB02-053,EB02,053,Anime 25th Collection,Myskina Olga,C,Yellow,Character,3,4000,1000,Wisdom,Alchemi,,3,[On Play]/[On K.O.] Look at up to 1 card from the top of your or your opponent's Life cards and place it at the top or bottom of the Life cards.,,"[""EB02-053"", ""Myskina Olga""]","[""local-catalog"", ""official-cardlist""]",EB02-053,0,,,,,,,,0,,,0,{}
115,EB02-054,EB02,054,Anime 25th Collection,Sanji,R,Yellow,Character,5,6000,1000,Strike,East Blue/Straw Hat Crew,,3,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.) [On Play] If you have 2 or less Life cards, draw 2 cards and trash 1 card from your hand.",,"[""EB02-054"", ""Sanji""]","[""local-catalog"", ""official-cardlist""]",EB02-054,0,,,,,,,,0,,,0,{}
116,EB02-055,EB02,055,Anime 25th Collection,Jinbe,R,Yellow,Character,4,5000,2000,Strike,Fish-Man/Straw Hat Crew,,3,-,"[Trigger] If your Leader has the {Fish-Man} or {Merfolk} type and you have 2 or less Life cards, play this card.","[""EB02-055"", ""Jinbe""]","[""local-catalog"", ""official-cardlist""]",EB02-055,0,,,,,,,,0,,,0,{}
117,EB02-056,EB02,056,Anime 25th Collection,Vegapunk,SR,Yellow,Character,5,-,1000,Wisdom,Scientist/Egghead,,3,"[Blocker] [On Play] Look at 5 cards from the top of your deck; play up to 1 {Scientist} type Character card with a cost of 5 or less other than [Vegapunk]. Then, place the rest at the bottom of your deck in any order and if your opponent has 2 or less Characters, trash 1 card from your hand.",[Trigger] Draw 1 card.,"[""EB02-056"", ""Vegapunk""]","[""local-catalog"", ""official-cardlist""]",EB02-056,0,,,,,,,,0,,,0,{}
118,EB02-057,EB02,057,Anime 25th Collection,Mad Treasure,C,Yellow,Character,4,5000,1000,Special,Treasure Pirates,,3,[When Attacking] You may add 1 card from the top or bottom of your Life cards to your hand: Add up to 1 of your opponent's Characters with a cost of 3 or less to the top or bottom of your opponent's Life cards face-up.,,"[""EB02-057"", ""Mad Treasure""]","[""local-catalog"", ""official-cardlist""]",EB02-057,0,,,,,,,,0,,,0,{}
119,EB02-058,EB02,058,Anime 25th Collection,UUUUUS!,R,Yellow,Event,2,-,-,-,Music,,3,"[Main] Look at 4 cards from the top of your deck; reveal up to 1 card with a cost of 4 or more and add it to your hand. Then, place the rest at the bottom of your deck in any order.",[Trigger] Activate this card's [Main] effect.,"[""EB02-058"", ""UUUUUS!""]","[""local-catalog"", ""official-cardlist""]",EB02-058,0,,,,,,,,0,,,0,{}
120,EB02-059,EB02,059,Anime 25th Collection,Without Your Help I Can't Become the King of the Pirates!!!!,C,Yellow,Event,4,-,-,-,Straw Hat Crew,,3,"[Counter] Up to 1 of your Leader or Character cards gains +1000 power during this battle. Then, if you have 1 or less Life cards, play up to 1 of your yellow {Straw Hat Crew} type Character cards or [Sanji] with a cost of 5 or less from your hand.",,"[""EB02-059"", ""Without Your Help I Can't Become the King of the Pirates!!!!""]","[""local-catalog"", ""official-cardlist""]",EB02-059,0,,,,,,,,0,,,0,{}
121,EB02-060,EB02,060,Anime 25th Collection,Merry Go,C,Yellow,Stage,2,-,-,-,Straw Hat Crew,,3,[Activate: Main] You may rest this Stage and turn 1 card from the top of your Life cards face-up: Up to 1 of your {Straw Hat Crew} type Characters gains +1000 power until the end of your opponent's next turn.,,"[""EB02-060"", ""Merry Go""]","[""local-catalog"", ""official-cardlist""]",EB02-060,0,,,,,,,,0,,,0,{}
122,EB02-061,EB02,061,Anime 25th Collection,Monkey.D.Luffy,SEC,Purple,Character,6,7000,-,Strike,Water Seven/Straw Hat Crew,,3,"If your Leader is multicolored and your opponent has 5 or more DON!! cards on their field, this Character gains [Rush]. [When Attacking] [Once Per Turn] You may return 2 of your active DON!! cards to your DON!! deck: Set this Character as active. Then, add 1 card from the top of your Life cards to your hand.",,"[""EB02-061"", ""Monkey.D.Luffy""]","[""local-catalog"", ""official-cardlist""]",EB02-061,0,,,,,,,,0,,,0,{}
123,EB03-001,EB03,001,One Piece Heroines Edition,Nefeltari Vivi,L,Red/Blue,Leader,4,5000,-,Slash,Alabasta,,4,"[Once Per Turn] If your Character with a base cost of 4 or more would be K.O.'d, you may trash 1 card from your hand instead. [Activate: Main] You may rest this Leader: Give up to 1 of your opponent's Characters −2000 power during this turn. Then, up to 1 of your Characters without a [When Attacking] effect gains [Rush] during this turn.",,"[""EB03-001"", ""Nefeltari Vivi""]","[""local-catalog"", ""official-cardlist""]",EB03-001,0,,,,,,,,0,,,0,{}
124,EB03-002,EB03,002,One Piece Heroines Edition,Ain,C,Red,Character,5,6000,2000,Special,FILM/Neo Navy,,4,-,,"[""Ain"", ""EB03-002""]","[""local-catalog"", ""official-cardlist""]",EB03-002,0,,,,,,,,0,,,0,{}
125,EB03-003,EB03,003,One Piece Heroines Edition,Uta,SR,Red,Character,5,7000,-,Special,FILM,,4,"[On Play] If your Leader is [Uta], draw 2 cards. Then, play up to 1 Character card with 6000 power or less and no base effect from your hand.",,"[""EB03-003"", ""Uta""]","[""local-catalog"", ""official-cardlist""]",EB03-003,1,premium_rarity,sp,,,,EB03,,0,,,1,{}
126,EB03-004,EB03,004,One Piece Heroines Edition,Carina,C,Red,Character,3,2000,1000,Wisdom,FILM/Grantesoro,,4,"[Blocker] [Opponent's Turn] If your Leader is multicolored and you have no Characters with 6000 base power or more, this Character gains +4000 power.",,"[""Carina"", ""EB03-004""]","[""local-catalog"", ""official-cardlist""]",EB03-004,0,,,,,,,,0,,,0,{}
127,EB03-005,EB03,005,One Piece Heroines Edition,Sugar,R,Red,Character,3,-,1000,Special,Donquixote Pirates,,4,"[On Play] If your Leader is [Sugar], play up to 1 {Donquixote Pirates} type Character card with 6000 power or less from your hand rested.",,"[""EB03-005"", ""Sugar""]","[""local-catalog"", ""official-cardlist""]",EB03-005,0,,,,,,,,0,,,0,{}
