id,product_id,group_id,name,clean_name,card_code,parsed_variant_key,card_variant_id,market_price,mid_price,low_price,price_updated_at,created_at,updated_at
292,454644,3188,Who's.Who,WhosWho,OP01-109,base,,0.09,0.16,0.01,2026-04-01T20:09:44.781238+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.781238+00:00
293,454645,3188,Fukurokuju,Fukurokuju,OP01-110,base,,0.07,0.15,0.01,2026-04-01T20:09:44.781888+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.781888+00:00
294,454646,3188,Black Maria,Black Maria,OP01-111,base,,0.28,0.28,0.08,2026-04-01T20:09:44.782525+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.782525+00:00
295,454648,3188,Page One,Page One,OP01-112,base,,0.31,0.3,0.08,2026-04-01T20:09:44.783144+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.783144+00:00
296,454651,3188,Holedem,Holedem,OP01-113,base,,0.07,0.15,0.01,2026-04-01T20:09:44.783767+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.783767+00:00
297,454652,3188,X.Drake (114),XDrake 114,OP01-114,base,,0.39,0.42,0.18,2026-04-01T20:09:44.784380+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.784380+00:00
298,454659,3188,Elephant's Marchoo,Elephants Marchoo,OP01-115,base,,0.07,0.15,0.01,2026-04-01T20:09:44.784991+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.784991+00:00
299,454660,3188,Artificial Devil Fruit SMILE,Artificial Devil Fruit SMILE,OP01-116,base,,0.13,0.2,0.03,2026-04-01T20:09:44.785602+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.785602+00:00
300,454661,3188,Sheep's Horn,Sheeps Horn,OP01-117,base,,0.11,0.16,0.03,2026-04-01T20:09:44.786228+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.786228+00:00
301,454662,3188,Ulti-Mortar,Ulti Mortar,OP01-118,base,,0.21,0.24,0.08,2026-04-01T20:09:44.786845+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.786845+00:00
302,454663,3188,Thunder Bagua,Thunder Bagua,OP01-119,base,,1.52,2.39,0.75,2026-04-01T20:09:44.787574+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.787574+00:00
303,454664,3188,Shanks,Shanks,OP01-120,base,,6.6,8.03,5.42,2026-04-01T20:09:44.788467+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.788467+00:00
304,454665,3188,Shanks (Parallel),Shanks Parallel,OP01-120,parallel_2,1159,74.24,100.0,65.0,2026-04-01T20:09:44.789500+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.789500+00:00
305,454666,3188,Shanks (Parallel) (Manga) (Alternate Art),Shanks Parallel Manga Alternate Art,OP01-120,mr,1157,2033.99,6999.99,3999.98,2026-04-01T20:09:44.789778+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.789778+00:00
306,454667,3188,Yamato,Yamato,OP01-121,base,,5.52,9.0,4.99,2026-04-01T20:09:44.790455+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.790455+00:00
307,454669,3188,Yamato (Parallel),Yamato Parallel,OP01-121,parallel_1,1169,104.03,109.99,93.0,2026-04-01T20:09:44.792081+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.792081+00:00
308,455808,3188,Hitokiri Kamazo,Hitokiri Kamazo,OP01-108,base,,0.14,0.2,0.05,2026-04-01T20:09:44.792739+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.792739+00:00
